0,1,1,3,,27/07/2015,27/07/2015,80,20222222223,Juan Perez,2,Calle 123,CABA,222-2222,1408,perez@gmail.com,,,,,,,,,sarasa,sarasa,efectivo,1,0,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod1,nombre prod 1,1,2.5,7,5,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod2,nombre prod 2,1,33,7,5,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod3,nombre prod 3,1,33,7,5,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod3,nombre prod 4,1,33,7,5,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nombre prod 5,1,334,7,5,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod22,nombre prod 6,1,22,7,5,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tributo 1,20,10,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,Tributo 99,33,5,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,80
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,20222222223
1,1,1,3,,27/07/2015,27/07/2015,80,20111111112,Fulano De Tal,2,Calle 456,Lanús Oeste,333-3333,1689,fulano@gmail.com,,,,,,,,,sarasa,sarasa,efectivo,1,0,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod1,nombre prod 1,1,2.5,7,5,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod2,nombre prod 2,1,33,7,5,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod3,nombre prod 3,1,33,7,5,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cod3,nombre prod 4,1,33,7,5,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prod no cargado en Pirra,1,334,7,5,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Tributo 1,20,10,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011,80
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,20111111112
